firstName;lastName;addressLine1;addressLine2;addressLine3;state;pinCode;phone1;phone2;email
Rima;Bevelacqua;2972 Lafayette Ave;Gardena;Los Angeles;GA;90248;310-858-5079;310-499-4200;rima@cox.net
Glendora;Sarbacher;2140 Diamond Blvd;Rohnert Park;Sonoma;MA;94928;707-653-8214;707-881-3154;gsarbacher@gmail.com
Avery;Steier;93 Redmond Rd #492;Orlando;Orange;MI;32803;407-808-9439;407-945-8566;avery@cox.net
Cristy;Lother;3989 Portage Tr;Escondido;San Diego;NJ;92025;760-971-4322;760-465-4762;cristy@lother.com
Nicolette;Brossart;1 Midway Rd;Westborough;Worcester;LA;1581;508-837-9230;508-504-6388;nicolette_brossart@brossart.com
Tracey;Modzelewski;77132 Coon Rapids Blvd Nw;Conroe;Montgomery;PA;77301;936-264-9294;936-988-8171;tracey@hotmail.com
Virgina;Tegarden;755 Harbor Way;Milwaukee;Milwaukee;TX;53226;414-214-8697;414-411-5744;virgina_tegarden@tegarden.com
Tiera;Frankel;87 Sierra Rd;El Monte;Los Angeles;GA;91731;626-636-4117;626-638-4241;tfrankel@aol.com
Alaine;Bergesen;7667 S Hulen St #42;Yonkers;Westchester;CA;10701;914-300-9193;914-654-1426;alaine_bergesen@cox.net
Earleen;Mai;75684 S Withlapopka Dr #32;Dallas;Dallas;MI;75227;214-289-1973;214-785-6750;earleen_mai@cox.net
Leonida;Gobern;Armstead J Esq;5 Elmwood Park Blvd;Biloxi;AZ;39530;228-432-4635;228-235-5615;
Ressie;Auffrey;James C Cpa;23 Palo Alto Sq;Miami;PA;33134;305-287-4743;305-604-8981;
Justine;Mugnolo;38062 E Main St;New York;New York;TX;10048;212-304-9225;212-311-6377;jmugnolo@yahoo.com
Eladia;Saulter;3958 S Dupont Hwy #7;Ramsey;Bergen;MT;7446;201-474-4924;201-365-8698;eladia@saulter.com
Chaya;Malvin;560 Civic Center Dr;Ann Arbor;Washtenaw;NJ;48103;734-928-5182;734-408-8174;chaya@malvin.com
Gwenn;Suffield;3270 Dequindre Rd;Deer Park;Suffolk;MI;11729;631-258-6558;631-295-9879;gwenn_suffield@suffield.org
Salena;Karpel;1 Garfield Ave #7;Canton;Stark;OH;44707;330-791-8557;330-618-2579;skarpel@cox.net
Yoko;Fishburne;9122 Carpenter Ave;New Haven;New Haven;TX;6511;203-506-4706;203-840-8634;yoko@fishburne.com
Taryn;Moyd;Mark J Esq;48 Lenox St;Fairfax;NY;22030;703-938-7939;703-322-4041;
Katina;Polidori;5 Little River Tpke;Wilmington;Middlesex;RI;1887;978-626-2978;978-679-7429;katina_polidori@aol.com
Rickie;Plumer;3 N Groesbeck Hwy;Toledo;Lucas;NY;43613;419-693-1334;419-313-5571;rickie.plumer@aol.com
Alex;Loader;Scott Esq;37 N Elm St #916;Tacoma;CA;98409;253-875-9222;253-660-7821;
Lashon;Vizarro;433 Westminster Blvd #590;Roseville;Placer;OH;95661;916-741-7884;916-289-4526;lashon@aol.com
Lauran;Burnard;66697 Park Pl #3224;Riverton;Fremont;VA;82501;307-342-7795;307-453-7589;lburnard@burnard.com
Ceola;Setter;96263 Greenwood Pl;Warren;Knox;GA;4864;207-627-7565;207-297-5029;ceola.setter@setter.org
My;Rantanen;Paul J;8 Mcarthur Ln;Richboro;LA;18954;215-647-2158;215-491-5633;
Lorrine;Worlds;Nicholas J Esq;8 Fair Lawn Ave;Tampa;NJ;33614;813-863-6467;813-769-2939;
Peggie;Sturiale;9 N 14th St;El Cajon;San Diego;NJ;92020;619-608-1763;619-695-8086;peggie@cox.net
Marvel;Raymo;9 Vanowen St;College Station;Brazos;ID;77840;979-718-8968;979-809-5770;mraymo@yahoo.com
Daron;Dinos;Warren R Esq;18 Waterloo Geneva Rd;Highland Park;CA;60035;847-265-6609;847-233-3075;
An;Fritz;506 S Hacienda Dr;Atlantic City;Atlantic;MA;8401;609-228-5265;609-854-7156;an_fritz@hotmail.com
Portia;Stimmel;3732 Sherman Ave;Bridgewater;Somerset;MI;8807;908-722-7128;908-670-4712;portia.stimmel@aol.com
Rhea;Aredondo;25657 Live Oak St;Brooklyn;Kings;CO;11226;718-560-9537;718-280-4183;rhea_aredondo@cox.net
Benedict;Sama;4923 Carey Ave;Saint Louis;Saint Louis City;MD;63104;314-787-1588;314-858-4832;bsama@cox.net
Alyce;Arias;3196 S Rider Trl;Stockton;San Joaquin;MA;95207;209-317-1801;209-242-7022;alyce@arias.org
Heike;Berganza;3 Railway Ave #75;Little Falls;Passaic;MD;7424;973-936-5095;973-822-8827;heike@gmail.com
Carey;Dopico;John Esq;87393 E Highland Rd;Indianapolis;TX;46220;317-441-5848;317-578-2453;
Dottie;Hellickson;67 E Chestnut Hill Rd;Seattle;King;AZ;98133;206-540-6076;206-295-5631;dottie@hellickson.org
Deandrea;Hughey;33 Lewis Rd #46;Burlington;Alamance;OH;27215;336-822-7652;336-467-3095;deandrea@yahoo.com
Kimberlie;Duenas;8100 Jacksonville Rd #7;Hays;Ellis;WA;67601;785-629-8542;785-616-1685;kimberlie_duenas@yahoo.com
Martina;Staback;7 W Wabansia Ave #227;Orlando;Orange;IL;32822;407-471-6908;407-429-2145;martina_staback@staback.com
Skye;Fillingim;25 Minters Chapel Rd #9;Minneapolis;Hennepin;NY;55401;612-508-2655;612-664-6304;skye_fillingim@yahoo.com
Jade;Farrar;6882 Torresdale Ave;Columbia;Richland;FL;29201;803-352-5387;803-975-3405;jade.farrar@yahoo.com
Charlene;Hamilton;985 E 6th Ave;Santa Rosa;Sonoma;CA;95407;707-300-1771;707-821-8037;charlene.hamilton@hotmail.com
Geoffrey;Acey;7 West Ave #1;Palatine;Cook;FL;60067;847-222-1734;847-556-2909;geoffrey@gmail.com
Stevie;Westerbeck;Dennis W Md;26659 N 13th St;Costa Mesa;CA;92626;949-903-3898;949-867-4077;
Pamella;Fortino;669 Packerland Dr #1438;Denver;Denver;MD;80212;303-404-2210;303-794-1341;pamella@fortino.com
Harrison;Haufler;759 Eldora St;New Haven;New Haven;CA;6515;203-801-6193;203-801-8497;hhaufler@hotmail.com
Johnna;Engelberg;5 S Colorado Blvd #449;Bothell;Snohomish;MO;98021;425-986-7573;425-700-3751;jengelberg@engelberg.org
Buddy;Cloney;944 Gaither Dr;Strongsville;Cuyahoga;TX;44136;440-989-5826;440-327-2093;buddy.cloney@yahoo.com
Dalene;Riden;66552 Malone Rd;Plaistow;Rockingham;NC;3865;603-315-6839;603-745-7497;dalene.riden@aol.com
Jerry;Zurcher;77 Massillon Rd #822;Satellite Beach;Brevard;NJ;32937;321-518-5938;321-597-2159;jzurcher@zurcher.org
Haydee;Denooyer;25346 New Rd;New York;New York;TN;10016;212-792-8658;212-782-3493;hdenooyer@denooyer.org
Joseph;Cryer;60 Fillmore Ave;Huntington Beach;Orange;GA;92647;714-584-2237;714-698-2170;joseph_cryer@cox.net
Deonna;Kippley;57 Haven Ave #90;Southfield;Oakland;MN;48075;248-913-4677;248-793-4966;deonna_kippley@hotmail.com
Raymon;Calvaresi;6538 E Pomona St #60;Indianapolis;Marion;AZ;46222;317-825-4724;317-342-1532;raymon.calvaresi@gmail.com
Alecia;Bubash;James E Esq;6535 Joyce St;Wichita Falls;GA;76301;940-302-3036;940-276-7922;
Ma;Layous;78112 Morris Ave;North Haven;New Haven;IN;6473;203-721-3388;203-564-1543;mlayous@hotmail.com
Detra;Coyier;96950 Hidden Ln;Aberdeen;Harford;MS;21001;410-739-9277;410-259-2118;detra@aol.com
Terrilyn;Rodeigues;3718 S Main St;New Orleans;Orleans;MI;70130;504-463-4384;504-635-8518;terrilyn.rodeigues@cox.net
Salome;Lacovara;9677 Commerce Dr;Richmond;Richmond City;CO;23219;804-550-5097;804-858-1011;slacovara@gmail.com
Garry;Keetch;5 Green Pond Rd #4;Southampton;Bucks;NY;18966;215-979-8776;215-846-9046;garry_keetch@hotmail.com
Matthew;Neither;636 Commerce Dr #42;Shakopee;Scott;CA;55379;952-651-7597;952-906-4597;mneither@yahoo.com
Theodora;Restrepo;Patricia S Esq;42744 Hamann Industrial Pky #82;Miami;CA;33136;305-573-1085;305-936-8226;
Noah;Kalafatis;1950 5th Ave;Milwaukee;Milwaukee;OH;53209;414-263-5287;414-660-9766;noah.kalafatis@aol.com
Carmen;Sweigard;61304 N French Rd;Somerset;Somerset;NJ;8873;732-941-2621;732-445-6940;csweigard@sweigard.com
Lavonda;Hengel;87 Imperial Ct #79;Fargo;Cass;AK;58102;701-898-2154;701-421-7080;lavonda@cox.net
Junita;Stoltzman;94 W Dodge Rd;Carson City;Carson City;CA;89701;775-638-9963;775-578-1214;junita@aol.com
Herminia;Nicolozakes;4 58th St #3519;Scottsdale;Maricopa;PA;85254;602-954-5141;602-304-6433;herminia@nicolozakes.org
Casie;Good;Debbie J Esq;5221 Bear Valley Rd;Nashville;WA;37211;615-825-4297;615-390-2251;
Reena;Maisto;9648 S Main;Salisbury;Wicomico;NY;21801;410-351-1863;410-951-2667;reena@hotmail.com
Mirta;Mallett;7 S San Marcos Rd;New York;New York;MD;10004;212-870-1286;212-745-6948;mirta_mallett@gmail.com
Cathrine;Pontoriero;812 S Haven St;Amarillo;Randall;NY;79109;806-703-1435;806-558-5848;cathrine.pontoriero@pontoriero.com
Filiberto;Tawil;Elena Salerno Esq;3882 W Congress St #799;Los Angeles;MA;90016;323-842-8226;323-765-2528;
Raul;Upthegrove;Gregory W Esq;4 E Colonial Dr;La Mesa;OK;91942;619-666-4765;619-509-5282;
Sarah;Candlish;45 2nd Ave #9759;Atlanta;Fulton;MI;30328;770-732-1194;770-531-2842;sarah.candlish@gmail.com
Lucy;Treston;57254 Brickell Ave #372;Worcester;Worcester;OH;1602;508-769-5250;508-502-5634;lucy@cox.net
Judy;Aquas;8977 Connecticut Ave Nw #3;Niles;Berrien;CA;49120;269-756-7222;269-431-9464;jaquas@aquas.com
Yvonne;Tjepkema;9 Waydell St;Fairfield;Essex;TN;7004;973-714-1721;973-976-8627;yvonne.tjepkema@hotmail.com
Kayleigh;Lace;43 Huey P Long Ave;Lafayette;Lafayette;CO;70508;337-740-9323;337-751-2326;kayleigh.lace@yahoo.com
Felix;Hirpara;7563 Cornwall Rd #4462;Denver;Lancaster;TN;17517;717-491-5643;717-583-1497;felix_hirpara@cox.net
Tresa;Sweely;Grant S Esq;22 Bridle Ln;Valley Park;CA;63088;314-231-3514;314-359-9566;
Kristeen;Turinetti;70099 E North Ave;Arlington;Tarrant;IL;76013;817-213-8851;817-947-9480;kristeen@gmail.com
Jenelle;Regusters;Brian F Esq;3211 E Northeast Loop;Tampa;NY;33619;813-357-7296;813-932-8715;
Renea;Monterrubio;26 Montgomery St;Atlanta;Fulton;WA;30328;770-679-4752;770-930-9967;renea@hotmail.com
Olive;Matuszak;13252 Lighthouse Ave;Cathedral City;Riverside;MD;92234;760-938-6069;760-745-2649;olive@aol.com
Ligia;Reiber;206 Main St #2804;Lansing;Ingham;NJ;48933;517-906-1108;517-747-7664;lreiber@cox.net
Christiane;Eschberger;96541 W Central Blvd;Phoenix;Maricopa;CA;85034;602-390-4944;602-330-6894;christiane.eschberger@yahoo.com
Goldie;Schirpke;Arthur C Jr;34 Saint George Ave #2;Bangor;NJ;4401;207-748-3722;207-295-7569;
Loreta;Timenez;Katherine Andritsaki;47857 Coney Island Ave;Clinton;VA;20735;301-392-6698;301-696-6420;
Fabiola;Hauenstein;8573 Lincoln Blvd;York;York;AZ;17404;717-809-3119;717-344-2804;fabiola.hauenstein@hauenstein.org
Amie;Perigo;596 Santa Maria Ave #7913;Mesquite;Dallas;FL;75150;972-419-7946;972-898-1033;amie.perigo@yahoo.com
Raina;Brachle;3829 Ventura Blvd;Butte;Silver Bow;AZ;59701;406-318-1515;406-374-7752;raina.brachle@brachle.org
Erinn;Canlas;13 S Hacienda Dr;Livingston;Essex;CA;7039;973-767-3008;973-563-9502;erinn.canlas@canlas.com
Cherry;Lietz;40 9th Ave Sw #91;Waterford;Oakland;NJ;48329;248-980-6904;248-697-7722;cherry@lietz.com
Kattie;Vonasek;2845 Boulder Crescent St;Cleveland;Cuyahoga;CA;44103;216-923-3715;216-270-9653;kattie@vonasek.org
Lilli;Scriven;John J Esq;33 State St;Abilene;MA;79601;325-667-7868;325-631-1560;
Whitley;Tomasulo;2 S 15th St;Fort Worth;Tarrant;CA;76107;817-526-4408;817-819-7799;whitley.tomasulo@aol.com
Barbra;Adkin;4 Kohler Memorial Dr;Brooklyn;Kings;PA;11230;718-201-3751;718-732-9475;badkin@hotmail.com
Hermila;Thyberg;1 Rancho Del Mar Shopping C;Providence;Providence;AZ;2903;401-893-4882;401-885-7681;hermila_thyberg@hotmail.com
Jesusita;Flister;Edward J Jr;3943 N Highland Ave;Lancaster;FL;17601;717-686-7564;717-885-9118;
Caitlin;Julia;Seymour Cpa;5 Williams St;Johnston;KY;2919;401-552-9059;401-948-4982;
Roosevelt;Hoffis;Myron;60 Old Dover Rd;Hialeah;MI;33014;305-302-1135;305-622-4739;
Helaine;Halter;Mike;8 Sheridan Rd;Jersey City;TX;7304;201-412-3040;201-832-4168;
Lorean;Martabano;Hogg P Esq;85092 Southern Blvd;San Antonio;NJ;78204;210-634-2447;210-856-4979;
France;Buzick;64 Newman Springs Rd E;Brooklyn;Kings;FL;11219;718-478-8504;718-853-3740;france.buzick@yahoo.com
Justine;Ferrario;48 Stratford Ave;Pomona;Los Angeles;TN;91768;909-993-3242;909-631-5703;jferrario@hotmail.com
Adelina;Nabours;80 Pittsford Victor Rd #9;Cleveland;Cuyahoga;CA;44103;216-230-4892;216-937-5320;adelina_nabours@gmail.com
Derick;Dhamer;Eugene A Esq;87163 N Main Ave;New York;PA;10013;212-225-9676;212-304-4515;
Jerry;Dallen;393 Lafayette Ave;Richmond;Richmond City;NJ;23219;804-762-9576;804-808-9574;jerry.dallen@yahoo.com
Leota;Ragel;99 5th Ave #33;Trion;Chattooga;PA;30753;706-221-4243;706-616-5131;leota.ragel@gmail.com
Jutta;Amyot;49 N Mays St;Broussard;Lafayette;UT;70518;337-515-1438;337-991-8070;jamyot@hotmail.com
Aja;Gehrett;993 Washington Ave;Nutley;Essex;CA;7110;973-544-2677;973-986-4456;aja_gehrett@hotmail.com
Kirk;Herritt;H Duane Esq;88 15th Ave Ne;Vestal;MI;13850;607-350-7690;607-407-3716;
Leonora;Mauson;3381 E 40th Ave;Passaic;Passaic;NY;7055;973-412-2995;973-355-2120;leonora@yahoo.com
Winfred;Brucato;201 Ridgewood Rd;Moscow;Latah;IN;83843;208-252-4552;208-793-4108;winfred_brucato@hotmail.com
Tarra;Nachor;39 Moccasin Dr;San Francisco;San Francisco;FL;94104;415-411-1775;415-284-2730;tarra.nachor@cox.net
Corinne;Loder;4 Carroll St;North Attleboro;Bristol;NJ;2760;508-942-4186;508-618-7826;corinne@loder.org
Dulce;Labreche;9581 E Arapahoe Rd;Rochester;Oakland;NJ;48307;248-357-8718;248-811-5696;dulce_labreche@yahoo.com
Kate;Keneipp;Maxon R Esq;33 N Michigan Ave;Green Bay;WI;54301;920-355-1610;920-353-6377;
Kaitlyn;Ogg;Paul E Esq;2 S Biscayne Blvd;Baltimore;NY;21230;410-773-3862;410-665-4903;
Sherita;Saras;8 Us Highway 22;Colorado Springs;El Paso;NJ;80937;719-669-1664;719-547-9543;sherita.saras@cox.net
Lashawnda;Stuer;J Christopher Esq;7422 Martin Ave #8;Toledo;TX;43607;419-399-1744;419-588-8719;
Ernest;Syrop;94 Chase Rd;Hyattsville;Prince Georges;IL;20785;301-998-9644;301-257-4883;ernest@cox.net
Nobuko;Halsey;8139 I Hwy 10 #92;New Bedford;Bristol;NJ;2745;508-855-9887;508-897-7916;nobuko.halsey@yahoo.com
Lavonna;Wolny;Kenneth A Esq;5 Cabot Rd;Mc Lean;NE;22102;703-892-2914;703-483-1970;
Lashaunda;Lizama;3387 Ryan Dr;Hanover;Anne Arundel;VA;21076;410-678-2473;410-912-6032;llizama@cox.net
Mariann;Bilden;3125 Packer Ave #9851;Austin;Travis;TX;78753;512-223-4791;512-742-1149;mariann.bilden@aol.com
Helene;Rodenberger;347 Chestnut St;Peoria;Maricopa;NY;85381;623-461-8551;623-426-4907;helene@aol.com
Roselle;Estell;8116 Mount Vernon Ave;Bucyrus;Crawford;FL;44820;419-571-5920;419-488-6648;roselle.estell@hotmail.com
Samira;Heintzman;8772 Old County Rd #5410;Kent;King;IN;98032;206-311-4137;206-923-6042;sheintzman@hotmail.com
Margart;Meisel;Arthur L Aia;868 State St #38;Cincinnati;MO;45251;513-747-9603;513-617-2362;
Kristofer;Bennick;Ronald J Esq;772 W River Dr;Bloomington;TX;47404;812-442-8544;812-368-1511;
Weldon;Acuff;73 W Barstow Ave;Arlington Heights;Cook;CA;60004;847-353-2156;847-613-5866;wacuff@gmail.com
Shalon;Shadrick;61047 Mayfield Ave;Brooklyn;Kings;FL;11223;718-232-2337;718-394-4974;shalon@cox.net
Denise;Patak;2139 Santa Rosa Ave;Orlando;Orange;WY;32801;407-446-4358;407-808-3254;denise@patak.org
Louvenia;Beech;598 43rd St;Beverly Hills;Los Angeles;NY;90210;310-820-2117;310-652-2379;louvenia.beech@beech.com
Audry;Yaw;70295 Pioneer Ct;Brandon;Hillsborough;NJ;33511;813-797-4816;813-744-7100;audry.yaw@yaw.org
Kristel;Ehmann;Joy Reynolds Esq;92899 Kalakaua Ave;El Paso;PA;79925;915-300-6100;915-452-1290;
Vincenza;Zepp;395 S 6th St #2;El Cajon;San Diego;CA;92020;619-603-5125;619-935-6661;vzepp@gmail.com
Elouise;Gwalthney;9506 Edgemore Ave;Bladensburg;Prince Georges;NJ;20710;301-841-5012;301-591-3034;egwalthney@yahoo.com
Venita;Maillard;72119 S Walker Ave #63;Anaheim;Orange;RI;92801;714-523-6653;714-663-9740;venita_maillard@gmail.com
Kasandra;Semidey;369 Latham St #500;Saint Louis;Saint Louis City;CA;63102;314-732-9131;314-697-3652;kasandra_semidey@semidey.com
Xochitl;Discipio;3158 Runamuck Pl;Round Rock;Williamson;DC;78664;512-233-1831;512-942-3411;xdiscipio@gmail.com
Maile;Linahan;9 Plainsboro Rd #598;Greensboro;Guilford;CA;27409;336-670-2640;336-364-6037;mlinahan@yahoo.com
Krissy;Rauser;Mark A Esq;8728 S Broad St;Coram;ID;11727;631-288-2866;631-443-4710;
Pete;Dubaldi;2215 Prosperity Dr;Lyndhurst;Bergen;IN;7071;201-825-2514;201-749-8866;pdubaldi@hotmail.com
Linn;Paa;1 S Pine St;Memphis;Shelby;NE;38112;901-412-4381;901-573-9024;linn_paa@paa.com
Paris;Wide;187 Market St;Atlanta;Fulton;WA;30342;404-505-4445;404-607-8435;paris@hotmail.com
Wynell;Dorshorst;Craig W Esq;94290 S Buchanan St;Pacifica;FL;94044;650-749-9879;650-473-1262;
Quentin;Birkner;7061 N 2nd St;Burnsville;Dakota;;55337;952-702-7993;952-314-5871;qbirkner@aol.com
Regenia;Kannady;10759 Main St;Scottsdale;Maricopa;;85260;480-726-1280;480-205-5121;regenia.kannady@cox.net
Sheron;Louissant;Brenda J Cpa;97 E 3rd St #9;Long Island City;NY;11101;718-613-9994;718-976-8610;
Izetta;Funnell;82 Winsor St #54;Atlanta;Dekalb;;30340;770-844-3447;770-584-4119;izetta.funnell@hotmail.com
Rodolfo;Butzen;Cynthia A Esq;41 Steel Ct;Northfield;MN;55057;507-590-5237;507-210-3510;
Zona;Colla;Robert A Esq;49440 Dearborn St;Norwalk;CT;6854;203-938-2557;203-461-1949;
Serina;Zagen;7 S Beverly Dr;Fort Wayne;Allen;;46802;260-273-3725;260-382-4869;szagen@aol.com
Paz;Sahagun;919 Wall Blvd;Meridian;Lauderdale;;39307;601-927-8287;601-249-4511;paz_sahagun@cox.net
Markus;Lukasik;89 20th St E #779;Sterling Heights;Macomb;;48310;586-970-7380;586-247-1614;markus@yahoo.com
Jaclyn;Bachman;721 Interstate 45 S;Colorado Springs;El Paso;;80919;719-853-3600;719-223-2074;jaclyn@aol.com
Cyril;Daufeldt;3 Lawton St;New York;New York;;10013;212-745-8484;212-422-5427;cyril_daufeldt@daufeldt.com
Gayla;Schnitzler;38 Pleasant Hill Rd;Hayward;Alameda;;94545;510-686-3407;510-441-4055;gschnitzler@gmail.com
Erick;Nievas;Anne Esq;45 E Acacia Ct;Chicago;IL;60624;773-359-6109;773-704-9903;
Jennie;Drymon;Michelle M Esq;63728 Poway Rd #1;Scranton;PA;18509;570-868-8688;570-218-4831;
Mitsue;Scipione;77 222 Dr;Oroville;Butte;;95965;530-986-9272;530-399-3254;mscipione@scipione.com
Ciara;Ventura;Robert M Esq;53 W Carey St;Port Jervis;NY;12771;845-694-7919;845-823-8877;
Galen;Cantres;617 Nw 36th Ave;Brook Park;Cuyahoga;;44142;216-600-6111;216-871-6876;galen@yahoo.com
Truman;Feichtner;539 Coldwater Canyon Ave;Bloomfield;Essex;;7003;973-852-2736;973-473-5108;tfeichtner@yahoo.com
Gail;Kitty;735 Crawford Dr;Anchorage;Anchorage;;99501;907-435-9166;907-770-3542;gail@kitty.com
Dalene;Schoeneck;Douglas J Esq;910 Rahway Ave;Philadelphia;PA;19102;215-380-8820;215-268-1275;
Gertude;Witten;John Randolph Jr;7 Tarrytown Rd;Cincinnati;OH;45217;513-863-9471;513-977-7043;
Lizbeth;Kohl;35433 Blake St #588;Gardena;Los Angeles;;90248;310-699-1222;310-955-5788;lizbeth@yahoo.com
Glenn;Berray;John E Esq;29 Cherry St #7073;Des Moines;IA;50315;515-372-1738;515-370-7348;
Lashandra;Klang;810 N La Brea Ave;King of Prussia;Montgomery;;19406;610-809-1818;610-378-7332;lashandra@yahoo.com
Lenna;Newville;Morris J Jr;987 Main St;Raleigh;NC;27601;919-254-5987;919-623-2524;
Laurel;Pagliuca;36 Enterprise St Se;Richland;Benton;;99352;509-695-5199;509-595-6485;laurel@yahoo.com
Mireya;Frerking;8429 Miller Rd;Pelham;Westchester;;10803;914-868-5965;914-883-3061;mireya.frerking@hotmail.com
Annelle;Tagala;5 W 7th St;Parkville;Baltimore;;21234;410-757-1035;410-234-2267;annelle@yahoo.com
Dean;Ketelsen;2 Flynn Rd;Hicksville;Nassau;;11801;516-847-4418;516-732-6649;dean_ketelsen@gmail.com
Levi;Munis;2094 Ne 36th Ave;Worcester;Worcester;;1603;508-456-4907;508-658-7802;levi.munis@gmail.com
Sylvie;Ryser;649 Tulane Ave;Tulsa;Tulsa;;74105;918-644-9555;918-565-1706;sylvie@aol.com
Sharee;Maile;2094 Montour Blvd;Muskegon;Muskegon;;49442;231-467-9978;231-265-6940;sharee_maile@aol.com
Cordelia;Storment;Jon H Esq;393 Hammond Dr;Lafayette;LA;70506;337-255-3427;337-566-6001;
Mollie;Mcdoniel;8590 Lake Lizzie Dr;Bowling Green;Wood;;43402;419-975-3182;419-417-4674;mollie_mcdoniel@yahoo.com
Brett;Mccullan;87895 Concord Rd;La Mesa;San Diego;;91942;619-461-9984;619-727-3892;brett.mccullan@mccullan.com
Teddy;Pedrozo;Neal J Esq;46314 Route 130;Bridgeport;CT;6610;203-918-3939;203-892-3863;
Tasia;Andreason;Robert A;4 Cowesett Ave;Kearny;NJ;7032;201-969-7063;201-920-9002;
Hubert;Walthall;Deanna;95 Main Ave #2;Barberton;OH;44203;330-566-8898;330-903-1345;
Arthur;Farrow;Timothy L Esq;28 S 7th St #2824;Englewood;NJ;7631;201-772-4377;201-238-5688;
Vilma;Berlanga;D Fred Esq;79 S Howell Ave;Grand Rapids;MI;49546;616-568-4113;616-737-3085;
Billye;Miro;Francine H Esq;36 Lancaster Dr Se;Pearl;MS;39208;601-637-5479;601-567-5386;
Glenna;Slayton;2759 Livingston Ave;Memphis;Shelby;;38118;901-640-9178;901-869-4314;glenna_slayton@cox.net
Mitzie;Hudnall;17 Jersey Ave;Englewood;Arapahoe;;80110;303-402-1940;303-997-7760;mitzie_hudnall@yahoo.com
Bernardine;Rodefer;2 W Grand Ave;Memphis;Shelby;;38112;901-901-4726;901-739-5892;bernardine_rodefer@yahoo.com
Staci;Schmaltz;18 Coronado Ave #563;Pasadena;Los Angeles;;91106;626-866-2339;626-293-7678;staci_schmaltz@aol.com
Nichelle;Meteer;72 Beechwood Ter;Chicago;Cook;;60657;773-225-9985;773-857-2231;nichelle_meteer@meteer.com
Janine;Rhoden;92 Broadway;Astoria;Queens;;11103;718-228-5894;718-728-5051;jrhoden@yahoo.com
Ettie;Hoopengardner;39 Franklin Ave;Richland;Benton;;99352;509-755-5393;509-847-3352;ettie.hoopengardner@hotmail.com
Eden;Jayson;4 Iwaena St;Baltimore;Baltimore City;;21202;410-890-7866;410-429-4888;eden_jayson@yahoo.com
Lynelle;Auber;32820 Corkwood Rd;Newark;Essex;;7104;973-860-8610;973-605-6492;lynelle_auber@gmail.com
Merissa;Tomblin;34 Raritan Center Pky;Bellflower;Los Angeles;;90706;562-579-6900;562-719-7922;merissa.tomblin@gmail.com
Golda;Kaniecki;6201 S Nevada Ave;Toms River;Ocean;;8755;732-628-9909;732-617-5310;golda_kaniecki@yahoo.com
Catarina;Gleich;Robert E Esq;78 Maryland Dr #146;Denville;NJ;7834;973-491-8723;973-210-3994;
Virgie;Kiel;Terrence P Esq;76598 Rd  I 95 #1;Denver;CO;80216;303-845-5408;303-776-7548;
Jolene;Ostolaza;1610 14th St Nw;Newport News;Newport News City;;23608;757-682-7116;757-940-1741;jolene@yahoo.com
Keneth;Borgman;86350 Roszel Rd;Phoenix;Maricopa;;85012;602-919-4211;602-442-3092;keneth@yahoo.com
Rikki;Nayar;1644 Clove Rd;Miami;Miami-Dade;;33155;305-968-9487;305-978-2069;rikki@nayar.com
Elke;Sengbusch;9 W Central Ave;Phoenix;Maricopa;;85013;602-896-2993;602-575-3457;elke_sengbusch@yahoo.com
Hoa;Sarao;Joel S Esq;27846 Lafayette Ave;Oak Hill;FL;32759;386-599-7296;386-526-7800;
Trinidad;Mcrae;10276 Brooks St;San Francisco;San Francisco;;94105;415-331-9634;415-419-1597;trinidad_mcrae@yahoo.com
Mari;Lueckenbach;Nelson E Jr;1 Century Park E;San Diego;CA;92110;858-228-5683;858-793-9684;
Selma;Husser;9 State Highway 57 #22;Jersey City;Hudson;;7306;201-991-8369;201-772-7699;selma.husser@cox.net
Antione;Onofrio;4 S Washington Ave;San Bernardino;San Bernardino;;92410;909-430-7765;909-665-3223;aonofrio@onofrio.com
Luisa;Jurney;25 Se 176th Pl;Cambridge;Middlesex;;2138;617-365-2134;617-544-2541;ljurney@hotmail.com
Clorinda;Heimann;Charles Jr;105 Richmond Valley Rd;Escondido;CA;92025;760-261-4786;760-291-5497;
Dick;Wenzinger;22 Spruce St #595;Gardena;Los Angeles;;90248;310-510-9713;310-936-2258;dick@yahoo.com
Ahmed;Angalich;2 W Beverly Blvd;Harrisburg;Dauphin;;17110;717-528-8996;717-632-5831;ahmed.angalich@angalich.com
Iluminada;Ohms;72 Southern Blvd;Mesa;Maricopa;;85204;480-293-2882;480-866-6544;iluminada.ohms@yahoo.com
Joanna;Leinenbach;1 Washington St;Lake Worth;Palm Beach;;33461;561-470-4574;561-951-9734;joanna_leinenbach@hotmail.com
Caprice;Suell;W Dan Esq;90177 N 55th Ave;Nashville;TN;37211;615-726-4537;615-246-1824;
Stephane;Myricks;9 Tower Ave;Burlington;Boone;;41005;859-717-7638;859-308-4286;stephane_myricks@cox.net
Quentin;Swayze;278 Bayview Ave;Milan;Monroe;;48160;734-561-6170;734-851-8571;quentin_swayze@yahoo.com
Annmarie;Castros;80312 W 32nd St;Conroe;Montgomery;;77301;936-751-7961;936-937-2334;annmarie_castros@gmail.com
Shonda;Greenbush;82 Us Highway 46;Clifton;Passaic;;7011;973-482-2430;973-644-2974;shonda_greenbush@cox.net
